"Species","Common","IUIS Allergen","Type","Group","Allergenicity","Length","Accession","GI#","1st Version"
"Actinidia arguta","Hardy Kiwi","Unassigned","Food Plant","Actinidia arguta kiwellin","IgE but no biological test","213","AGC39172.1","441482362","14"
"Actinidia arguta","Hardy Kiwi","Unassigned","Food Plant","Actinidia arguta kiwellin","IgE but no biological test","213","AGC39173.1","441482364","14"
"Actinidia arguta","Hardy Kiwi","Unassigned","Food Plant","Actinidia arguta kiwellin","IgE but no biological test","213","AGC39174.1","441482366","14"
"Actinidia chinensis","Kiwi","Unassigned","Food Plant","Actinidia Act c 1 Act d 1 Actinidin","IgE plus basophil+ or SPT+","380","P00785.4","190358935","9"
"Actinidia chinensis","Kiwi","Unassigned","Food Plant","Actinidia Act c 1 Act d 1 Actinidin","IgE plus basophil+ or SPT+","380","BBA83994.1","1373811525","19"
"Actinidia chinensis","Kiwi","Act c 10","Food Plant","Actinidia Act c 10 LTP","IgE plus basophil+ or SPT+","15","P85204.1","378548410","13"
"Actinidia chinensis","Kiwi","Act c 5.0102","Food Plant","Actinidia Act c 5 kiwellin","IgE but no biological test","213","AGC39168.1","441482354","14"
"Actinidia chinensis","Kiwi","Act c 8.0101","Food Plant","Actinidia Act c 8 Act d 8 PR-10","IgE but no biological test","159","CAM31908.1","281552896","11"
"Actinidia chinensis","Kiwi","Act d 12.0102","Food Plant","Actinidia Act d 12","IgE plus basophil+ or SPT+","462","ABB77213.1","82469930","16"
"Actinidia chinensis","Kiwi","Unassigned","Food Plant","Actinidia Act d 2 thaumatin like protein","IgE plus basophil+ or SPT+","20","P83958.1","68064399","7"
"Actinidia chinensis","Kiwi","Unassigned","Food Plant","Actinidia Act d 2 thaumatin like protein","IgE plus basophil+ or SPT+","225","AGC39176.1","441482370","14"
"Actinidia deliciosa","Kiwi","Act d 1.0101","Food Plant","Actinidia Act c 1 Act d 1 Actinidin","IgE plus basophil+ or SPT+","380","CAA34486.1","15984","7"
"Actinidia deliciosa","Kiwi","Unassigned","Food Plant","Actinidia Act c 1 Act d 1 Actinidin","IgE plus basophil+ or SPT+","380","AAA32629.1","166317","7"
"Actinidia deliciosa","Kiwi","Unassigned","Food Plant","Actinidia Act c 1 Act d 1 Actinidin","IgE plus basophil+ or SPT+","380","A5HII1.1","193806686","12"
"Actinidia deliciosa","Kiwi","Act d 8.0101","Food Plant","Actinidia Act c 8 Act d 8 PR-10","IgE but no biological test","157","CAM31909.1","281552898","11"
"Actinidia deliciosa","Kiwi","Act d 10.0201","Food Plant","Actinidia Act d 10 LTP","IgE plus basophil+ or SPT+","92","P85206.1","378548411","13"
"Actinidia deliciosa","Kiwi","Act d 10.0101","Food Plant","Actinidia Act d 10 LTP","IgE plus basophil+ or SPT+","92","P86137.2","378405189","13"
"Actinidia deliciosa","Kiwi","Act d 11.0101","Food Plant","Actinidia Act d 11 Kirola MLP","IgE but no biological test","150","P85524.1","332319679","12"
"Actinidia deliciosa","Kiwi","Act d 2.0101","Food Plant","Actinidia Act d 2 thaumatin like protein","IgE plus basophil+ or SPT+","225","CAI38795.2","71057064","7"
"Actinidia deliciosa","Kiwi","Unassigned","Food Plant","Actinidia Act d 2 thaumatin like protein","IgE plus basophil+ or SPT+","201","ABQ42566.1","146737976","9"
"Actinidia deliciosa","Kiwi","Act d 4.0101","Food Plant","Actinidia Act d 4 Phytocystatin","IgE plus basophil+ or SPT+","116","AAR92223.1","40807635","7"
"Actinidia deliciosa","Kiwi","Act d 5.0101","Food Plant","Actinidia Act d 5 kiwellin","IgE plus basophil+ or SPT+","189","P84527.1","85701136","7"
"Actinidia deliciosa","Kiwi","Unassigned","Food Plant","Actinidia Act d 5 kiwellin","IgE plus basophil+ or SPT+","213","AGC39164.1","441482346","14"
"Actinidia deliciosa","Kiwi","Unassigned","Food Plant","Actinidia Act d 5 kiwellin","IgE plus basophil+ or SPT+","213","AGC39165.1","441482348","14"
"Actinidia deliciosa","Kiwi","Unassigned","Food Plant","Actinidia Act d 5 kiwellin","IgE plus basophil+ or SPT+","213","AGC39166.1","441482350","14"
"Actinidia deliciosa","Kiwi","Unassigned","Food Plant","Actinidia Act d 5 kiwellin","IgE plus basophil+ or SPT+","213","AGC39167.1","441482352","14"
"Actinidia deliciosa","Kiwi","Unassigned","Food Plant","Actinidia Act d 5 kiwellin","IgE plus basophil+ or SPT+","189","4X9U_B","906848988","17"
"Actinidia deliciosa","Kiwi","Act d 9.0101","Food Plant","Actinidia Act d 9, profilin","IgE but no biological test","109","C0HL99.1","1407892581","19"
"Actinidia eriantha","Climber (plant)","Unassigned","Food Plant","Actinidia eriantha kiwellin","IgE but no biological test","213","AGC39169.1","441482356","14"
"Actinidia eriantha","Climber (plant)","Unassigned","Food Plant","Actinidia eriantha kiwellin","IgE but no biological test","213","AGC39170.1","441482358","14"
"Actinidia eriantha","Climber (plant)","Unassigned","Food Plant","Actinidia eriantha kiwellin","IgE but no biological test","213","AGC39171.1","441482360","14"
"Amphioctopus fangsiao","Octopus","Unassigned","Food Animal","Amphioctopus arginine kinase","IgE but no biological test","348","AEK65120.1","340742817","12"
"Anacardium occidentale","Cashew","Ana 0 1.0102","Food Plant","Anacardium Ana o 1","IgE plus basophil+ or SPT+","536","AAM73729.1","21666498","7"
"Anacardium occidentale","Cashew","Ana 0 1.0101","Food Plant","Anacardium Ana o 1","IgE plus basophil+ or SPT+","538","AAM73730.2","21914823","7"
"Anacardium occidentale","Cashew","Ana o 2.0101","Food Plant","Anacardium Ana o 2","IgE plus basophil+ or SPT+","457","AAN76862.1","25991543","7"
"Anacardium occidentale","Cashew","Ana o 3.0101","Food Plant","Anacardium Ana o 3","IgE plus basophil+ or SPT+","138","AAL91665.1","24473800","7"
"Ananas comosus","Pineapple","Ana c 1.0101","Food Plant","Ananas profilin Ana c 1","IgE but no biological test","131","Q94JN2.1","75306610","10"
"Anisakis pegreffii","Parasitic fish worm","Unassigned","Food Animal","Anisakis Ani s 12","IgE but no biological test","264","AGC60026.1","442577845","14"
"Anisakis pegreffii","Parasitic fish worm","Unassigned","Food Animal","Anisakis Ani s 12","IgE but no biological test","264","AGC60027.1","442577847","14"
"Anisakis pegreffii","Parasitic fish worm","Unassigned","Food Animal","Anisakis Ani s 12","IgE but no biological test","264","AGC60028.1","442577849","14"
"Anisakis simplex","Parasitic fish worm","Ani s 1.0101","Food Animal","Anisakis Ani s 1 protease inhibitor","IgE plus basophil+ or SPT+","194","Q7Z1K3.1","47605452","7"
"Anisakis simplex","Parasitic fish worm","Unassigned","Food Animal","Anisakis Ani s 1 protease inhibitor","IgE plus basophil+ or SPT+","163","AGC60035.1","442577863","14"
"Anisakis simplex","Parasitic fish worm","Unassigned","Food Animal","Anisakis Ani s 1 protease inhibitor","IgE plus basophil+ or SPT+","163","AGC60036.1","442577865","14"
"Anisakis simplex","Parasitic fish worm","Ani s 10.0101","Food Animal","Anisakis Ani s 10","IgE but no biological test","231","ACZ95445.1","272574378","11"
"Anisakis simplex","Parasitic fish worm","Ani s 11.0101","Food Animal","Anisakis Ani s 11","IgE but no biological test","307","BAJ78220.1","323575361","12"
"Anisakis simplex","Parasitic fish worm","Unassigned","Food Animal","Anisakis Ani s 11","IgE but no biological test","160","BAJ78221.1","323575363","12"
"Anisakis simplex","Parasitic fish worm","Unassigned","Food Animal","Anisakis Ani s 11","IgE but no biological test","287","BAJ78222.1","323575365","12"
"Anisakis simplex","Parasitic fish worm","Ani s 12.0101","Food Animal","Anisakis Ani s 12","IgE but no biological test","295","BAJ78223.1","323575367","12"
"Anisakis simplex","Parasitic fish worm","Unassigned","Food Animal","Anisakis Ani s 12","IgE but no biological test","264","AGC60029.1","442577851","14"
"Anisakis simplex","Parasitic fish worm","Unassigned","Food Animal","Anisakis Ani s 12","IgE but no biological test","264","AGC60030.1","442577853","14"
"Anisakis simplex","Parasitic fish worm","Unassigned","Food Animal","Anisakis Ani s 12","IgE but no biological test","264","AGC60031.1","442577855","14"
"Anisakis simplex","Parasitic fish worm","Ani s 14.0101","Food Animal","Anisakis Ani s 14","IgE but no biological test","217","BAT62430.1","957554293","17"
"Anisakis simplex","Parasitic fish worm","Ani s 2.0101","Food Animal","Anisakis Ani s 2 paramyosin","IgE but no biological test","473","AAF75225.1","8453086","7"
"Anisakis simplex","Parasitic fish worm","Unassigned","Food Animal","Anisakis Ani s 2 paramyosin","IgE but no biological test","869","Q9NJA9.1","42559536","9"
"Anisakis simplex","Parasitic fish worm","Ani s 3.0101","Food Animal","Anisakis Ani s 3 tropomyosin","IgE plus basophil+ or SPT+","284","Q9NAS5.1","14423976","7"
"Anisakis simplex","Parasitic fish worm","Unassigned","Food Animal","Anisakis Ani s 3 tropomyosin","IgE plus basophil+ or SPT+","284","AEQ28167.1","350285785","13"
"Anisakis simplex","Parasitic fish worm","Ani s 4.0101","Food Animal","Anisakis Ani s 4","IgE plus basophil+ or SPT+","14","P83885.1","47605398","7"
"Anisakis simplex","Parasitic fish worm","Unassigned","Food Animal","Anisakis Ani s 4","IgE plus basophil+ or SPT+","115","CAK50389.1","110346534","8"
"Anisakis simplex","Parasitic fish worm","Ani s 5.0101","Food Animal","Anisakis Ani s 5 SXP/RAL-2 family protein","IgE but no biological test","152","BAF43534.1","121308878","8"
"Anisakis simplex","Parasitic fish worm","Ani s 7.0101","Food Animal","Anisakis Ani s 7 UA3-recognized allergen","IgE but no biological test","1096","ABL77410.1","119524036","9"
"Anisakis simplex","Parasitic fish worm","Ani s 8.0101","Food Animal","Anisakis Ani s 8 SXP/RAL-2 family protein 2","IgE but no biological test","150","BAF75681.1","155676636","9"
"Anisakis simplex","Parasitic fish worm","Unassigned","Food Animal","Anisakis Ani s 8 SXP/RAL-2 family protein 2","IgE but no biological test","150","BAF75704.1","155676682","9"
"Anisakis simplex","Parasitic fish worm","Unassigned","Food Animal","Anisakis Ani s 8 SXP/RAL-2 family protein 2","IgE but no biological test","150","BAF75705.1","155676684","9"
"Anisakis simplex","Parasitic fish worm","Unassigned","Food Animal","Anisakis Ani s 8 SXP/RAL-2 family protein 2","IgE but no biological test","150","BAF75706.1","155676686","9"
"Anisakis simplex","Parasitic fish worm","Unassigned","Food Animal","Anisakis Ani s 8 SXP/RAL-2 family protein 2","IgE but no biological test","150","BAF75707.1","155676688","9"
"Anisakis simplex","Parasitic fish worm","Unassigned","Food Animal","Anisakis Ani s 8 SXP/RAL-2 family protein 2","IgE but no biological test","150","BAF75708.1","155676690","9"
"Anisakis simplex","Parasitic fish worm","Unassigned","Food Animal","Anisakis Ani s 8 SXP/RAL-2 family protein 2","IgE but no biological test","150","BAF75709.1","155676692","9"
"Anisakis simplex","Parasitic fish worm","Unassigned","Food Animal","Anisakis Ani s 8 SXP/RAL-2 family protein 2","IgE but no biological test","150","BAF75710.1","155676694","9"
"Anisakis simplex","Parasitic fish worm","Unassigned","Food Animal","Anisakis Ani s 8 SXP/RAL-2 family protein 2","IgE but no biological test","150","BAF75711.1","155676696","9"
"Anisakis simplex","Parasitic fish worm","Unassigned","Food Animal","Anisakis Ani s 8 SXP/RAL-2 family protein 2","IgE but no biological test","150","BAF75712.1","155676698","9"
"Anisakis simplex","Parasitic fish worm","Ani s 9.0101","Food Animal","Anisakis Ani s 9","IgE but no biological test","147","ABV55106.1","157418806","9"
"Anisakis simplex","Parasitic fish worm","Unassigned","Food Animal","Anisakis simplex troponin-like","IgE but no biological test","161","CAB58171.1","6065738","7"
"Apium graveolens","Celery","Api g 1.0101","Food Plant","Apium Api g 1","IgE plus basophil+ or SPT+","154","P49372.1","1346568","7"
"Apium graveolens","Celery","Api g 1.0201","Food Plant","Apium Api g 1","IgE plus basophil+ or SPT+","159","P92918.1","14423646","9"
"Apium graveolens","Celery","Api g 2.0101","Food Plant","Apium Api g 2","IgE plus basophil+ or SPT+","118","ACV04796.1","256600126","12"
"Apium graveolens","Celery","Api g 4.0101","Food Plant","Apium Api g 4","IgE plus basophil+ or SPT+","134","AAD29409.1","4761578","7"
"Apium graveolens","Celery","Api g 5.0101","Food Plant","Apium Api g 5","IgE but no biological test","86","P81943.3","33300920","10"
"Apium graveolens Rapaceum Group","Celery","Api g 6.0101","Food Plant","Apium graveolens Api g 6  LTP 2","IgE but no biological test","67","P86809.1","550540827","15"
"Arachis hypogaea","Peanut","Ara h 1","Food Plant","Arachis Ara h 1","IgE plus basophil+ or SPT+","614","P43237.1","1168390","7"
"Arachis hypogaea","Peanut","Ara h 1.0101","Food Plant","Arachis Ara h 1","IgE plus basophil+ or SPT+","626","P43238.1","1168391","7"
"Arachis hypogaea","Peanut","Unassigned","Food Plant","Arachis Ara h 1","IgE plus basophil+ or SPT+","299","AAT00595.1","46560474","7"
"Arachis hypogaea","Peanut","Unassigned","Food Plant","Arachis Ara h 1","IgE plus basophil+ or SPT+","303","AAT00594.1","46560472","7"
"Arachis hypogaea","Peanut","Unassigned","Food Plant","Arachis Ara h 1","IgE plus basophil+ or SPT+","428","AAT00596.1","46560476","7"
"Arachis hypogaea","Peanut","Unassigned","Food Plant","Arachis Ara h 1","IgE plus basophil+ or SPT+","619","ADQ53858.1","312233063","12"
"Arachis hypogaea","Peanut","Unassigned","Food Plant","Arachis Ara h 1","IgE plus basophil+ or SPT+","418","3SMH_A","375332427","13"
"Arachis hypogaea","Peanut","Unassigned","Food Plant","Arachis Ara h 1","IgE plus basophil+ or SPT+","418","3S7E_A","347447588","13"
"Arachis hypogaea","Peanut","Ara h 12.0101","Food Plant","Arachis Ara h 12","IgE but no biological test","71","B3EWP3.1","1018736824","17"
"Arachis hypogaea","Peanut","Ara h 13.0102","Food Plant","Arachis Ara h 13 defensin","IgE but no biological test","72","C0HJZ1.1","1018736837","17"
"Arachis hypogaea","Peanut","Ara h 13.0101","Food Plant","Arachis Ara h 13 defensin","IgE but no biological test","79","B3EWP4.1","1018736830","17"
"Arachis hypogaea","Peanut","Ara h 2.0201","Food Plant","Arachis Ara h 2","IgE plus basophil+ or SPT+","172","AAN77576.1","26245447","7"
"Arachis hypogaea","Peanut","Ara a 2","Food Plant","Arachis Ara h 2","IgE plus basophil+ or SPT+","169","AAM78596.1","31322017","7"
"Arachis hypogaea","Peanut","Ara h 2.0101","Food Plant","Arachis Ara h 2","IgE plus basophil+ or SPT+","156","AAK96887.1","15418705","10"
"Arachis hypogaea","Peanut","Unassigned","Food Plant","Arachis Ara h 2","IgE plus basophil+ or SPT+","158","ACN62248.1","224747150","10"
"Arachis hypogaea","Peanut","Ara h 3.0101","Food Plant","Arachis Ara h 3 Glycinin","IgE plus basophil+ or SPT+","507","AAC63045.1","3703107","7"
"Arachis hypogaea","Peanut","Ara h 3.0201","Food Plant","Arachis Ara h 3 Glycinin","IgE plus basophil+ or SPT+","530","AAD47382.1","5712199","7"
"Arachis hypogaea","Peanut","Unassigned","Food Plant","Arachis Ara h 3 Glycinin","IgE plus basophil+ or SPT+","538","AAM46958.1","21314465","7"
"Arachis hypogaea","Peanut","Unassigned","Food Plant","Arachis Ara h 3 Glycinin","IgE plus basophil+ or SPT+","219","AAM93157.1","22135348","7"
"Arachis hypogaea","Peanut","Unassigned","Food Plant","Arachis Ara h 3 Glycinin","IgE plus basophil+ or SPT+","512","ABI17154.1","112380623","8"
"Arachis hypogaea","Peanut","Unassigned","Food Plant","Arachis Ara h 3 Glycinin","IgE plus basophil+ or SPT+","530","ACH91862.1","199732457","10"
"Arachis hypogaea","Peanut","Unassigned","Food Plant","Arachis Ara h 3 Glycinin","IgE plus basophil+ or SPT+","510","3C3V_A","224036293","10"
